Cap_Do,EXP_Len_Cap_Tiep,Tong_EXP_Bat_Dau,Tong_EXP_Ket_Thuc,Ngoc_Xanh_Lam_10EXP,Ngoc_Tim_20EXP,Ngoc_Vang_50EXP,Ngoc_Do_100EXP
1,50,0,50,5.0,2.5,1.0,0.5
2,80,50,130,8.0,4.0,1.6,0.8
3,110,130,240,11.0,5.5,2.2,1.1
4,140,240,380,14.0,7.0,2.8,1.4
5,170,380,550,17.0,8.5,3.4,1.7
6,200,550,750,20.0,10.0,4.0,2.0
7,230,750,980,23.0,11.5,4.6,2.3
8,260,980,1240,26.0,13.0,5.2,2.6
9,290,1240,1530,29.0,14.5,5.8,2.9
10,320,1530,1850,32.0,16.0,6.4,3.2
11,350,1850,2200,35.0,17.5,7.0,3.5
12,380,2200,2580,38.0,19.0,7.6,3.8
13,410,2580,2990,41.0,20.5,8.2,4.1
14,440,2990,3430,44.0,22.0,8.8,4.4
15,470,3430,3900,47.0,23.5,9.4,4.7
16,500,3900,4400,50.0,25.0,10.0,5.0
17,530,4400,4930,53.0,26.5,10.6,5.3
18,560,4930,5490,56.0,28.0,11.2,5.6
19,590,5490,6080,59.0,29.5,11.8,5.9
20,620,6080,6700,62.0,31.0,12.4,6.2
21,650,6700,7350,65.0,32.5,13.0,6.5
22,680,7350,8030,68.0,34.0,13.6,6.8
23,710,8030,8740,71.0,35.5,14.2,7.1
24,740,8740,9480,74.0,37.0,14.8,7.4
25,770,9480,10250,77.0,38.5,15.4,7.7
26,800,10250,11050,80.0,40.0,16.0,8.0
27,830,11050,11880,83.0,41.5,16.6,8.3
28,860,11880,12740,86.0,43.0,17.2,8.6
29,890,12740,13630,89.0,44.5,17.8,8.9
30,920,13630,14550,92.0,46.0,18.4,9.2
